,tconst,title,released_date,actor,dombox,adj_dombox,CRev,WICAR
5522,tt1211956,Escape Plan,2013-10-18 00:00:00, 50 Cent,25135965,28320064,0,0
5116,tt6618142,THE MASTER,2017-11-09 00:00:00, A.J. Knapp,16247159,18690037,0,0
5870,tt2124946,The Interview,, A.J. Merlin,6105175,6756700,0,0
5257,tt1853739,You're Next,2013-08-23 00:00:00, AJ Bowen,18494006,20837031,0,0
1401,tt1650062,Super 8,2011-06-10 00:00:00, AJ Michalka,127004179,146703436,0,0
6033,tt2403021,The Green Inferno,2015-09-25 00:00:00, Aaron Burns,7192291,7815110,0,0
1338,tt0935075,Rabbit Hole,2011-01-28 00:00:00, Aaron Eckhart,2229058,2577340,0,0
4790,tt0376136,The Rum Diary,2011-10-28 00:00:00, Aaron Eckhart,13109815,15143239,13109815,1625992.907
5474,tt2302755,Olympus Has Fallen,2013-03-22 00:00:00, Aaron Eckhart,98927592,111460849,112037407,12142607.19
6606,tt3300542,London Has Fallen,2016-03-04 00:00:00, Aaron Eckhart,62524260,66210660,174561667,13145496.88
2961,tt3263904,Sully,2016-09-09 00:00:00, Aaron Eckhart,125070033,132440565,299631700,47705640.76
6471,tt1620935,Bleed for This,2016-11-18 00:00:00, Aaron Eckhart,5083906,5383643,304715606,17396296.5
6404,tt2057392,Eye in the Sky,2016-04-01 00:00:00, Aaron Paul,18704596,19807410,0,0
4594,tt1602098,Albert Nobbs,2012-02-22 00:00:00, Aaron Taylor-Johnson,3014696,3469167,0,0
5124,tt1781769,Anna Karenina,2012-09-07 00:00:00, Aaron Taylor-Johnson,12816367,14717702,12816367,1975376.524
449,tt1647668,Million Dollar Arm,2014-05-16 00:00:00, Aasif Mandvi,36447959,40864537,0,0
1433,tt1219289,Limitless,2011-03-18 00:00:00, Abbie Cornish,79249455,91541614,0,0
1517,tt0978764,Sucker Punch,2011-03-25 00:00:00, Abbie Cornish,36392502,42037237,36392502,4513713.953
3404,tt1981128,Geostorm,2017-10-20 00:00:00, Abbie Cornish,33700160,34412086,70092662,4179625.944
551,tt9001594,Home,2020-12-15 00:00:00, Abby Rey,177397510,192759330,0,0
856,tt4103724,Forever My Girl,2018-01-19 00:00:00, Abby Ryder Fortson,16376066,16465943,0,0
1062,tt14151124,Salt,2021-03-16 00:00:00, Abdul Mujeer,118311368,137355153,0,0
6345,tt2072227,Shanghai,2012-06-08 00:00:00, Abhay Deol,46425,50444,0,0
5168,tt1911644,The Call,2013-03-15 00:00:00, Abigail Breslin,51872378,58444153,0,0
2892,tt1881002,Maggie,2015-05-08 00:00:00, Abigail Breslin,187112,203306,187112,34109.08676
7297,tt6205872,Assassination Nation,2018-09-21 00:00:00, Abra,2005142,2016143,0,0
7007,tt4859526,Friend Request,2015-10-23 00:00:00, Achint Kaur,3759078,3838700,0,0
4969,tt5798602,The Awakening,, Acorye' White,95933,110387,0,0
4894,tt11073060,The Sessions,2020-06-30 00:00:00, Ada Ameh,6002451,6898414,0,0
1988,tt1667307,Damsels in Distress,2012-04-26 00:00:00, Adam Brody,1007535,1159418,0,0
7451,tt7798634,Ready or Not,2019-08-21 00:00:00, Adam Brody,28714231,28714231,28714231,3853958.846
3672,tt3156890,Life of the Party,2013-06-02 00:00:00, Adam Cantor,53059911,53351128,0,0
5406,tt1350546,Redemption,, Adam Chambers,36686,41330,0,0
693,tt3850544,Hillsong: Let Hope Rise,2016-09-16 00:00:00, Adam Crosariol,2394725,2535909,0,0
6624,tt2823054,Mike and Dave Need Wedding Dates,2016-07-08 00:00:00, Adam Devine,46009673,48722379,0,0
3928,tt2452244,Isn't It Romantic,2019-02-13 00:00:00, Adam Devine,48791187,48791189,48791187,15987896.81
