,title,year,M,p,q
0,Ága,2019,4082.9121386868715,0.06331088333447243,0.1575367777892981
1,Zootopia,2016,39313664.6988197,0.27362357718976493,0.049397107220724074
2,Zookeeper,2011,9997805.911603922,0.3788571113860851,0.11565720934810086
3,Zombieland: Double Tap,2019,8006363.356125843,0.47983784272706476,-0.03154778297160332
4,Zero Dark Thirty,2012,11521166.294078643,0.06871909988888268,0.6198671074375149
5,Zama,2018,21103.95672182654,0.2143766588395686,0.26824554587642085
6,Yves Saint Laurent,2014,105896.81097253742,0.042767920255957374,0.21843058886239136
7,Youth in Revolt,2010,1926000.8981685878,0.6020469063924018,0.16205337908675477
8,Youth,2015,306209.3256195007,0.15266243308039706,0.2076609655510216
9,Your Sister's Sister,2012,197277.05871977963,0.1389180742552656,0.4490717278411234
10,Young Goethe in Love,2011,2794.3564914358876,-0.21243108865530383,4.478868691901584e-06
11,Young Adult,2011,2030876.476487469,0.158297988473545,0.7357795211474235
12,Young & Beautiful,2014,12885.754493484053,0.09064989334998086,0.08232517972796813
13,You Will Meet a Tall …,2010,406657.37021070305,0.04401249882310849,0.566720581552946
14,You Ain't Seen Nothin…,2013,1129.565887681685,-1.0071525415013183,0.00023262920719873127
15,You Again,2010,3223018.0791692548,0.432041464364838,0.1141698566013053
16,Yossi,2013,14881.016294609339,0.11117186603113544,0.23372853167155466
17,Yogi Bear,2010,12521959.82733228,0.29618463408491547,0.07517716686083192
18,Yesterday,2019,8219080.829425744,0.3429869502569878,-0.0318342960116878
19,Yellow Submarine (196…,2018,108829.82408718145,0.3888662280318847,-0.10269670921833346
20,X-Men: First Class,2011,18420167.120341692,0.5057026162514829,-0.049480742219046414
21,X-Men: Days of Future…,2014,28618789.9342788,0.5535894116196627,-0.22268291294286113
22,Wrong Turn,2021,138035.6026978304,0.02882424208854948,0.3479003716046381
23,Wreck-It Ralph,2012,22983332.336225703,0.33617541462835837,0.009038015369128793
24,Wrath of the Titans,2012,10467342.093622357,0.5272534781341853,-0.03192212557345475
25,Wrath of Man,2021,3077115.1653579087,0.37529996154485834,-0.07650880445705716
26,World War Z,2013,24787593.873515435,0.4657212274175267,-0.05785908125171241
27,Working Woman,2019,8218.291027170344,0.10255711400169322,0.07867076628722909
28,Words on Bathroom Walls,2020,278050.3646385954,0.25284424140339407,0.23062659606101418
29,Words and Pictures,2014,259122.05698013215,0.08496279253112991,0.6294264150036458
30,Woodlawn,2015,1690408.7840535517,0.37302099270373607,0.13766045223157805
31,Wonât You Be My Neigh…,2018,2436209.7619966213,0.06450835899904506,0.5958066578216009
32,Wonder Woman,2017,45935694.58248884,0.357234163197147,-0.06108509281336594
33,Wonder,2017,14632548.393884044,0.358533686569119,-0.06988608824835596
34,Womenâs Balcony,2017,131274.2738593064,-0.04633466756685751,0.4469994338035977
35,Woman in Gold,2015,3885660.0312292804,0.10143547106341044,0.4337023986595239
36,Woman at War,2019,91844.97978282851,0.054589923998970724,0.42221906493888267
37,Wolf Warrior 2,2017,301016.31088216195,0.24936139479684827,0.546349692482418
38,Witnesses,2021,95046.49378482676,0.2852304086034862,-0.002773397096306751
39,Wish Upon,2017,1585021.7036200878,0.5662279138894776,0.11579609717527017
40,Winter's Bone,2010,804011.3161840329,0.06744530360524681,0.22362816878834654
41,Winter in Wartime,2011,69084.87041407278,0.05098381910619193,0.24981075958572718
42,Winnie the Pooh,2011,3317056.616844122,0.4772922098843455,0.1636549989285545
43,Winnebago Man,2010,27240.340393926228,0.10619143873991331,0.01076576720619321
44,Wings of Desire (1987…,2018,15952.823426014138,0.15458237064604682,-0.019346738635638655
45,Wind River,2017,3728024.895848393,0.05957128867648007,0.8049567874996408
46,Win Win,2011,1267212.1444407562,0.06669597408992436,0.4516813269418477
47,William S. Burroughs:…,2010,6679.341388629205,0.1526081697867157,-0.029646104555310693
48,Wildlife,2018,112146.58926023814,0.13236747833378726,0.37867197181354983
49,Wild Tales,2015,364052.5305916329,0.06177662981697968,0.2926046217117897
50,Wild Rose,2019,173803.67252348457,0.05992801101355678,0.9434277512224215
51,Wild Nights With Emily,2019,55874.26023529599,0.1268102057016727,0.5625797928526012
52,Wild Grass,2010,50547.96571628316,0.17881521020713936,0.07702588919956445
53,Wild,2014,4418754.941153718,0.017763028325972718,0.8188213417800626
54,Widows,2018,4645055.0717575755,0.41390299147490095,0.11146248796609864
55,Why Him?,2016,6656538.999906245,0.4281123784389121,0.21205544559397294
56,Why Don't You Play in…,2014,727.2324416329222,-0.4335106154218625,8.195228549783263e-05
57,Why Did I Get Married…,2010,7595720.706105433,0.6263241755969645,-0.07148807881949293
58,Who Will Write Our Hi…,2019,16649.309094374483,0.18117527810695025,-0.054001312230187226
59,Whitney,2018,329370.90464960213,0.6084977725551814,0.15634775912628907
60,White Material ,2010,38864.47891451601,0.21056097292357093,0.09710805965950695
61,White House Down,2013,8921104.197915599,0.5104565348196314,0.08951263521456415
62,White God,2015,32342.506558742094,0.17200155456450822,0.42346301955501486
63,Whisky Galore,2017,2343.3199676350428,0.09903768315322585,0.3676443767171953
64,Whiplash,2014,2190397.1551711666,0.017945644620231727,0.1112457588032976
65,While We're Young,2015,880569.423194032,0.08261994388232158,0.7554685129814336
66,Whereâs My Roy Cohn?,2019,76229.87989435412,0.08567913107208044,0.5898091521099257
67,Where to Invade Next,2016,455558.1455192562,0.3601116064642071,-0.09907739549420852
68,Where Do We Go Now,2012,64739.41133112624,0.09915977013886224,0.36573103677282637
69,When the Game Stands …,2014,3661527.9668132486,0.36346410335830825,0.21016368008299194
70,When the Bough Breaks,2016,3447224.713167399,0.5754113969529676,-0.03193395231029972
71,When in Rome,2010,4157439.1829215325,0.4666076127712491,-0.048281777513319246
72,When You're Strange: …,2010,31538.282749988135,0.3635145602099713,-0.08434145849096086
73,When Marnie Was There,2015,65655.50055089574,0.10539615806880416,0.5351055519201062
74,What to Expect When Y…,2012,5145886.592777381,0.3668771451962874,0.1764275681270663
75,What is Democracy,2019,1029.9563553441274,-0.3177214003072755,2.6618679867594156e-05
76,What Will People Say,2018,2386.543853593928,-1.0840421486137581,0.00013109754355811523
77,What We Do in the Shadows,2015,407642.371957558,0.050763570397120185,0.4296715532092953
78,What If...,2010,99499.53119064347,0.1403040123404439,0.15276985068541335
79,Weâre the Millers,2013,18316176.797668297,0.16128461271751066,0.2857217749915631
80,Western,2018,4436.947010258101,0.3067886160289005,-0.09559893523645041
81,West of Memphis,2012,42138.2620629306,0.018641925213184907,0.25460090552073306
82,Welcome to Leith,2015,4184.573173066956,0.12789208971122148,0.26253556869643324
83,Weiner,2016,191121.33928564223,0.11256501003523565,0.3409029755149528
84,Wedding Doll,2016,6499.340424815192,0.021550189910382458,0.7196020465102165
85,Weathering With You,2020,844310.9926593404,0.4034801452567488,0.36522982737733156
