,tconst,title,released,nconst,primaryName,boxoffice,inf_adj_boxoffice,cr,wicar
0,tt0430308,Get Rich or Die Tryin',11-09-2005,nm1265067,50 Cent,"$30,985,352",41446006.84,0,0
1,tt0763840,Home of the Brave,01-05-2007,nm1265067,50 Cent,"$51,708",66982.5432,30985352,281096.3811
2,tt1034331,Righteous Kill,09-12-2008,nm1265067,50 Cent,"$40,081,410",51075740.76,31037060,300862.9965
3,tt9121846,Streetz Incarcerated Vol 4,07-14-2009,nm1265067,50 Cent,0,0,71118470,1136546.858
4,tt1311699,Dead Man Running,10-30-2009,nm1265067,50 Cent,0,0,71118470,984371.1686
5,tt1606390,All Things Fall Apart,03-05-2011,nm1265067,50 Cent,0,0,71118470,2008920.752
6,tt1748197,Setup,10-13-2011,nm1265067,50 Cent,0,0,71118470,2008920.752
7,tt1449379,Caught in the Crossfire,11-22-2012,nm1265067,50 Cent,0,0,71118470,2869886.789
8,tt1815708,Freelancers,01-12-2013,nm1265067,50 Cent,0,0,71118470,4099838.27
9,tt1211956,Escape Plan,10-18-2013,nm1265067,50 Cent,"$25,135,965",29378915.89,71118470,4099838.27
10,tt1560954,Gun,09-05-2015,nm1265067,50 Cent,0,0,96254435,11823416.95
11,tt0485920,Vengeance,05-05-2016,nm1265067,50 Cent,0,0,96254435,16177482.89
12,tt1259528,Den of Thieves,01-19-2018,nm1265067,50 Cent,"$44,947,622",47792806.47,96254435,33015271.21
13,tt6772804,Escape Plan: The Extractors,06-27-2019,nm1265067,50 Cent,0,0,141202057,70583148.32
14,tt6618142,THE MASTER,11-09-2017,nm3356788,A.J. Knapp,0,0,0,0
36,tt1347280,Pendragon: Sword of His Father,11-01-2008,nm3260275,Aaron Burns,0,0,0,0
38,tt1691449,Blacktino,02-11-2013,nm2746751,Aaron Burns,0,0,0,0
39,tt3512634,Beasts,10-14-2014,nm6558219,Aaron Burns,0,0,0,0
40,tt2403021,The Green Inferno,09-25-2015,nm2746751,Aaron Burns,"$7,192,291",8102835.041,0,0
37,tt3605418,Knock Knock,10-09-2015,nm2746751,Aaron Burns,"$36,336",40936.1376,7192291,953290.4397
41,tt5707304,Madre,04-27-2017,nm2746751,Aaron Burns,0,0,7228627,1736697.836
43,tt0119361,In the Company of Men,08-01-1997,nm0001173,Aaron Eckhart,"$2,804,473",4224658.127,0,0
60,tt0119517,Your Friends and Neighbors,08-21-1998,nm0001173,Aaron Eckhart,"$4,714,658",7002681.527,2804473,1156.236009
64,tt0124901,Thursday,09-25-1998,nm0001173,Aaron Eckhart,"$3,121",4635.6213,7519131,2684.095344
44,tt0143746,Molly,07-01-1999,nm0001173,Aaron Eckhart,"$17,650",25843.13,7522252,2941.65811
72,tt0256276,Possession,08-30-2002,nm0001173,Aaron Eckhart,"$10,113,733",14168328.56,7539902,8603.994524
70,tt0298814,The Core,03-28-2003,nm0001173,Aaron Eckhart,"$31,186,896",43031679.1,17653635,35349.97783
63,tt0338337,Paycheck,12-25-2003,nm0001173,Aaron Eckhart,"$53,790,451",74220064.29,48840531,98820.79068
67,tt0324127,Suspect Zero,08-27-2004,nm0001173,Aaron Eckhart,"$8,725,813",11855762.12,102630982,286276.4953
52,tt0427944,Thank You for Smoking,04-14-2006,nm0001173,Aaron Eckhart,"$24,793,509",32640654.6,111356795,543532.8598
46,tt0418004,Neverwas,08-04-2006,nm0001173,Aaron Eckhart,0,0,136150304,683636.7492
54,tt0387877,The Black Dahlia,09-15-2006,nm0001173,Aaron Eckhart,"$22,545,080",29680597.82,136150304,646381.9428
57,tt0435623,Conversations with Other Women,05-18-2007,nm0001173,Aaron Eckhart,"$379,418",491498.0772,158695384,1124703.438
68,tt0481141,No Reservations,07-27-2007,nm0001173,Aaron Eckhart,"$43,107,979",55842076,159074802,1079642.163
56,tt0790623,Bill,06-18-2008,nm0001173,Aaron Eckhart,"$62,597",79767.3571,202182781,2082308.363
55,tt0468569,The Dark Knight,07-18-2008,nm0001173,Aaron Eckhart,"$534,858,444",681570115.2,202245378,1959701.815
65,tt0787523,Nothing Is Private,09-26-2008,nm0001173,Aaron Eckhart,"$372,124",474197.6132,737103822,8563200.852
59,tt0899106,Love Happens,09-18-2009,nm0001173,Aaron Eckhart,"$22,965,110",28779875.85,737475946,10209029.2
