,mid,title,released,director,boxoffice,inf_adj_boxoffice,cr,wicar
2842,tt0248547,Tholi Prema,07-24-1998,A. Karunakaran,0,0,0,0
1293,tt1649430,Vasu,04-10-2002,A. Karunakaran,0,0,0,0
1370,tt4305766,Chinnadana Nee Kosam,12-25-2014,A. Karunakaran,0,0,0,0
996,tt0355257,Bhargava Ramudu,01-14-1987,A. Kodandarami Reddy,0,0,0,0
1945,tt0173415,Vicky Dada,03-11-1989,A. Kodandarami Reddy,0,0,0,0
2223,tt0317353,Dharma Kshetram,02-14-1992,A. Kodandarami Reddy,0,0,0,0
4778,tt1579519,Allari Alludu,10-06-1993,A. Kodandarami Reddy,0,0,0,0
3380,tt2894564,Nippu Ravva,01-01-1994,A. Kodandarami Reddy,0,0,0,0
720,tt1579532,Bobbili Simham,09-23-1994,A. Kodandarami Reddy,0,0,0,0
563,tt7860344,Maatho Pettukoku,07-28-1995,A. Kodandarami Reddy,0,0,0,0
3295,tt1579975,Mitrudu,05-01-2009,A. Mahadev,0,0,0,0
2850,tt6024364,Jaguar,10-05-2016,"A. Mahadev, Gururaj M. Desai(co-director)",0,0,0,0
2249,tt0250774,Tera Jadoo Chal Gayaa,08-18-2000,A. Muthu,"$365,318",527190.4058,0,0
1901,tt1684561,Summer Song,04-01-2012,A. Rappaport,0,0,0,0
2689,tt0246737,Kochu Themmadi,11-28-1986,A. Vincent,0,0,0,0
1039,tt2316868,The Better Angels,11-07-2014,A.J. Edwards,"$70,918",81392.5886,0,0
1465,tt5342090,Friday's Child,11-22-2019,A.J. Edwards,0,0,70918,39882.36841
1966,tt0928188,The Box,09-27-2007,A.J. Kparr,0,0,0,0
2080,tt4621100,Nanak Shah Fakir,04-17-2015,A.K. Bir,0,0,0,0
831,tt0197294,Bhoothakkannadi,05-01-1997,A.K. Lohithadas,0,0,0,0
3620,tt0396684,Kasthuriman,04-04-2003,A.K. Lohithadas,0,0,0,0
2290,tt1102257,Lanka,02-03-2006,A.K. Sajan,0,0,0,0
2785,tt5323568,Puthiya Niyamam,02-12-2016,A.K. Sajan,0,0,0,0
1961,tt9332680,Neeyum Njanum,01-18-2019,A.K. Sajan,0,0,0,0
3544,tt2271641,Thaandavam,09-28-2012,A.L. Vijay,"$213,476",254015.0924,0,0
590,tt6882602,Sankalpam,06-22-1995,A.M. Rathnam,0,0,0,0
2665,tt0449951,Ghajini,09-29-2005,A.R. Murugadoss,0,0,0,0
