,tconst,title,released,distributor,genre,source,prodmethod,creativetype,productionbudget,maxtheaters,dombox,inf_dombox,year,franchise,runtime_min,act_infl,dir_infl
0,tt2140507,The Current War: Director's Cut,"Oct 25, 2019",101 Studios,Drama,Based on Real Life Events,Live Action,Dramatization,30000000,1082,5978673,5978673,2019,0,108,475777993.0,0.0
1,tt1606378,A Good Day to Die Hard,"Feb 14, 2013",20th Century Fox,Action,Original Screenplay,Live Action,Contemporary Fiction,92000000,3555,67349198,75881751,2013,1,98,162232640.693,3029308.187
2,tt1611224,Abraham Lincoln: Vampire Hunter,"Jun 22, 2012",20th Century Fox,Horror,Based on Fiction Book/Short Story,Live Action,Fantasy,67500000,3109,37519139,43175284,2012,0,105,14553393.179,6916779.602999999
3,tt2935510,Ad Astra,"Sep 20, 2019",20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,80000000,3460,50188370,50188370,2019,0,123,2257948146.0,4875922.987
4,tt2316204,Alien: Covenant,"May 19, 2017",20th Century Fox,Horror,Original Screenplay,Live Action,Science Fiction,97000000,3772,74262031,75835026,2017,1,122,230195681.68,63965334.03
5,tt0437086,Alita: Battle Angel,"Feb 14, 2019",20th Century Fox,Action,Based on Comic/Graphic Novel,Animation/Live Action,Science Fiction,170000000,3802,85838210,85838210,2019,0,122,799085137.2,5905081.845
6,tt1615918,Alvin and the Chipmunks: Chipwrecked,"Dec 16, 2011",20th Century Fox,Adventure,Based on TV,Animation/Live Action,Kids Fiction,80000000,3734,133107389,153599799,2011,1,87,41177366.43,8356746.716
7,tt2974918,Alvin and the Chipmunks: The Road Chip,"Dec 18, 2015",20th Century Fox,Adventure,Based on TV,Animation/Live Action,Kids Fiction,90000000,3705,85886987,92486715,2015,1,92,195958027.67000002,7651960.9520000005
8,tt2094766,Assassin's Creed,"Dec 21, 2016",20th Century Fox,Action,Based on Game,Live Action,Science Fiction,125000000,2996,54647948,57181172,2016,1,115,234670336.92,0.0
9,tt6628394,Bad Times at the El Royale,"Oct 12, 2018",20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Historical Fiction,32000000,2808,17839115,17937020,2018,0,141,767247725.0,17171606.36
10,tt1464174,"Big Mommas: Like Father, Like Son","Feb 18, 2011",20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,32000000,2821,37915414,43796369,2011,0,107,36730398.752,1317473.0829999999
11,tt1425922,Black Nativity,"Nov 27, 2013",20th Century Fox,Musical,Based on Play,Live Action,Fantasy,17500000,1525,7018188,7907288,2013,0,93,96590961.87,338920.4231
12,tt1727824,Bohemian Rhapsody,"Nov 2, 2018",20th Century Fox,Drama,Based on Real Life Events,Live Action,Dramatization,55000000,4000,216303339,217345118,2018,0,134,65916.025,74809954.36
13,tt11006500,Breakthrough,"Apr 17, 2019",20th Century Fox,Drama,Based on Factual Book/Article,Live Action,Dramatization,14000000,2913,40713082,40713082,2019,0,90,0.0,0.0
14,tt1235522,Broken City,"Jan 18, 2013",20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,35000000,2622,19701164,22197126,2013,0,109,147687519.73000002,0.0
15,tt2091256,Captain Underpants: The First Epic Movie,"Jun 2, 2017",20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,38000000,3529,73921000,75486772,2017,0,89,552732316.6,0.0
16,tt1629757,Chasing Mavericks,"Oct 26, 2012",20th Century Fox,Drama,Based on Real Life Events,Live Action,Dramatization,20000000,2030,6002756,6907071,2012,0,116,61255936.96,0.0
17,tt1706593,Chronicle,"Feb 3, 2012",20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,12000000,2908,64575175,74310124,2012,0,89,0.0,0.0
18,tt1279935,Date Night,"Apr 9, 2010",20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,55000000,3380,98711404,114600311,2010,0,88,0.0,0.0
19,tt2103281,Dawn of the Planet of the Apes,"Jul 11, 2014",20th Century Fox,Adventure,Remake,Animation/Live Action,Science Fiction,170000000,3969,208545589,233816099,2014,1,130,186919481.82,1397560.2980000002
20,tt1431045,Deadpool,"Feb 12, 2016",20th Century Fox,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,58000000,3856,363070709,384477187,2016,1,108,231917585.53,0.0
21,tt5463162,Deadpool 2,"May 18, 2018",20th Century Fox,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,110000000,4349,324591735,326372815,2018,1,119,858699409.1,19225261.9
22,tt2752758,Devil's Due,"Jan 17, 2014",20th Century Fox,Horror,Original Screenplay,Live Action,Fantasy,7000000,2544,15821461,17738624,2014,0,89,555363.0766899999,0.0
23,tt1196141,Diary of a Wimpy Kid,"Mar 19, 2010",20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,15000000,3083,64003625,74305856,2010,1,120,0.0,0.0
24,tt2023453,Diary of a Wimpy Kid: Dog Days,"Aug 3, 2012",20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,22000000,3401,49008662,56396902,2012,1,94,19027364.111,2603212.387
