,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office,tconst,Released_dt,year,franchise
983,"Oct 25, 2019","Jul 17, 2019",The Current War: Director's Cut,101 Studios,Drama,Based on Real Life Events,Live Action,Dramatization,30000000,1022,1082,2828,2633717,5978673,5978673,6889879,12868552,tt2140507,2019-10-25 00:00:00,2019,0
1326,"Feb 14, 2013","Feb 6, 2013",A Good Day to Die Hard,20th Century Fox,Action,Original Screenplay,Live Action,Contemporary Fiction,92000000,3553,3555,14076,24834845,67349198,75881751,236900000,304249198,tt1606378,2013-02-14 00:00:00,2013,1
1245,"Jun 22, 2012","Jun 20, 2012",Abraham Lincoln: Vampire Hunter,20th Century Fox,Horror,Based on Fiction Book/Short Story,Live Action,Fantasy,67500000,3108,3109,9577,16306974,37519139,43175284,99970591,137489730,tt1611224,2012-06-22 00:00:00,2012,0
960,"Sep 20, 2019","Sep 19, 2019",Ad Astra,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,80000000,3460,3460,13219,19001398,50188370,50188370,85243649,135432019,tt2935510,2019-09-20 00:00:00,2019,0
1583,"May 19, 2017","May 4, 2017",Alien: Covenant,20th Century Fox,Horror,Original Screenplay,Live Action,Science Fiction,97000000,3761,3772,13537,36160621,74262031,75835026,164259216,238521247,tt2316204,2017-05-19 00:00:00,2017,1
953,"Feb 14, 2019","Feb 1, 2019",Alita: Battle Angel,20th Century Fox,Action,Based on Comic/Graphic Novel,Animation/Live Action,Science Fiction,170000000,3790,3802,18635,28525613,85838210,85838210,316061830,401900040,tt0437086,2019-02-14 00:00:00,2019,0
6,"Dec 16, 2011","Dec 14, 2011",Alvin and the Chipmunks: Chipwrecked,20th Century Fox,Adventure,Based on TV,Animation/Live Action,Kids Fiction,80000000,3723,3734,24878,23244744,133107389,153599799,215981134,349088523,tt1615918,2011-12-16 00:00:00,2011,1
171,"Dec 18, 2015","Dec 18, 2015",Alvin and the Chipmunks: The Road Chip,20th Century Fox,Adventure,Based on TV,Animation/Live Action,Kids Fiction,90000000,3653,3705,19912,14287159,85886987,92486715,163630969,249517956,tt2974918,2015-12-18 00:00:00,2015,1
764,"Dec 21, 2016","Dec 21, 2016",Assassin's Creed,20th Century Fox,Action,Based on Game,Live Action,Science Fiction,125000000,2970,2996,10601,10278225,54647948,57181172,186111734,240759682,tt2094766,2016-12-21 00:00:00,2016,1
1674,"Oct 12, 2018","Sep 27, 2018",Bad Times at the El Royale,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Historical Fiction,32000000,2808,2808,8016,7132647,17839115,17937020,13339827,31178942,tt6628394,2018-10-12 00:00:00,2018,0
403,"Feb 18, 2011","Feb 18, 2011","Big Mommas: Like Father, Like Son",20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,32000000,2821,2821,10008,16300803,37915414,43796369,44417036,82332450,tt1464174,2011-02-18 00:00:00,2011,0
130,"Nov 27, 2013","Nov 27, 2013",Black Nativity,20th Century Fox,Musical,Based on Play,Live Action,Fantasy,17500000,1516,1525,3418,3669530,7018188,7907288,435996,7454184,tt1425922,2013-11-27 00:00:00,2013,0
886,"Nov 2, 2018","Oct 26, 2018",Bohemian Rhapsody,20th Century Fox,Drama,Based on Real Life Events,Live Action,Dramatization,55000000,4000,4000,35008,51061119,216303339,217345118,675169660,891472999,tt1727824,2018-11-02 00:00:00,2018,0
284,"Apr 17, 2019","Apr 12, 2019",Breakthrough,20th Century Fox,Drama,Based on Factual Book/Article,Live Action,Dramatization,14000000,2824,2913,13070,11282333,40713082,40713082,8518592,49231674,tt11006500,2019-04-17 00:00:00,2019,0
1334,"Jan 18, 2013","Jan 18, 2013",Broken City,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,35000000,2620,2622,8146,8268908,19701164,22197126,17413813,37114977,tt1235522,2013-01-18 00:00:00,2013,0
225,"Jun 2, 2017","Jun 2, 2017",Captain Underpants: The First Epic Movie,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,38000000,3434,3529,16236,23851539,73921000,75486772,52501949,126422949,tt2091256,2017-06-02 00:00:00,2017,0
113,"Oct 26, 2012","Oct 25, 2012",Chasing Mavericks,20th Century Fox,Drama,Based on Real Life Events,Live Action,Dramatization,20000000,2002,2030,5042,2268274,6002756,6907071,2298065,8300821,tt1629757,2012-10-26 00:00:00,2012,0
471,"Feb 3, 2012","Feb 2, 2012",Chronicle,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,12000000,2907,2908,13597,22004098,64575175,74310124,59106615,123681790,tt1706593,2012-02-03 00:00:00,2012,0
310,"Apr 9, 2010","Apr 9, 2010",Date Night,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,55000000,3374,3380,23993,25207599,98711404,114600311,53557629,152269033,tt1279935,2010-04-09 00:00:00,2010,0
599,"Jul 11, 2014","Jul 9, 2014",Dawn of the Planet of the Apes,20th Century Fox,Adventure,Remake,Animation/Live Action,Science Fiction,170000000,3967,3969,21830,72611427,208545589,233816099,502098977,710644566,tt2103281,2014-07-11 00:00:00,2014,1
