,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office,TitleLower
0,2019,2019,Toy Story 4,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,200000000.0,4575.0,4575.0,38194.0,120908065.0,434038008.0,434038008.0,639042321.0,1073080329.0,toy story 4
1,2010,2010,Toy Story 3,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,200000000.0,4028.0,4028.0,33699.0,110307189.0,415004880.0,481805411.0,653874642.0,1068879522.0,toy story 3
2,2013,2013,Monsters University,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,200000000.0,4004.0,4004.0,24656.0,82429469.0,268488329.0,302503449.0,474967481.0,743455810.0,monsters university
3,2011,2011,Cars 2,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,200000000.0,4115.0,4115.0,25790.0,66135507.0,191450875.0,221146280.0,368704508.0,560155383.0,cars 2
4,2017,2017,Cars 3,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,175000000.0,4256.0,4256.0,24083.0,53688680.0,152901115.0,156139821.0,230640254.0,383541369.0,cars 3
5,2011,2011,Rio,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,90000000.0,3827.0,3842.0,25374.0,39225962.0,143619809.0,165896275.0,343900000.0,487519809.0,rio
6,2011,2011,Alvin and the Chipmunks: Chipwrecked,20th Century Fox,Adventure,Based on TV,Animation/Live Action,Kids Fiction,80000000.0,3723.0,3734.0,24878.0,23244744.0,133107389.0,153599799.0,215981134.0,349088523.0,alvin and the chipmunks: chipwrecked
7,2014,2014,Rio 2,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,130000000.0,3948.0,3975.0,26391.0,39327869.0,131538435.0,147477603.0,361307856.0,492846291.0,rio 2
8,2015,2015,The Peanuts Movie,20th Century Fox,Adventure,Based on Comic/Graphic Novel,Digital Animation,Kids Fiction,99000000.0,3897.0,3902.0,22946.0,44213073.0,130178411.0,141397580.0,119913199.0,250091610.0,the peanuts movie
9,2011,2011,Gnomeo & Juliet,Walt Disney,Comedy,Based on Play,Digital Animation,Fantasy,36000000.0,2994.0,3037.0,20602.0,25356909.0,99967670.0,115473369.0,93770307.0,193737977.0,gnomeo & juliet
