,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office
0,2019,2019,Toy Story 4,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$200,000,000","4,575","4,575","38,194","$120,908,065","$434,038,008","$434,038,008","$639,042,321","$1,073,080,329"
1,2010,2010,Toy Story 3,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$200,000,000","4,028","4,028","33,699","$110,307,189","$415,004,880","$481,805,411","$653,874,642","$1,068,879,522"
2,2013,2013,Monsters University,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$200,000,000","4,004","4,004","24,656","$82,429,469","$268,488,329","$302,503,449","$474,967,481","$743,455,810"
3,2011,2011,Cars 2,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$200,000,000","4,115","4,115","25,790","$66,135,507","$191,450,875","$221,146,280","$368,704,508","$560,155,383"
4,2017,2017,Cars 3,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$175,000,000","4,256","4,256","24,083","$53,688,680","$152,901,115","$156,139,821","$230,640,254","$383,541,369"
5,2011,2011,Rio,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$90,000,000","3,827","3,842","25,374","$39,225,962","$143,619,809","$165,896,275","$343,900,000","$487,519,809"
6,2011,2011,Alvin and the Chipmunks: Chipwrecked,20th Century Fox,Adventure,Based on TV,Animation/Live Action,Kids Fiction,"$80,000,000","3,723","3,734","24,878","$23,244,744","$133,107,389","$153,599,799","$215,981,134","$349,088,523"
7,2014,2014,Rio 2,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$130,000,000","3,948","3,975","26,391","$39,327,869","$131,538,435","$147,477,603","$361,307,856","$492,846,291"
8,2015,2015,The Peanuts Movie,20th Century Fox,Adventure,Based on Comic/Graphic Novel,Digital Animation,Kids Fiction,"$99,000,000","3,897","3,902","22,946","$44,213,073","$130,178,411","$141,397,580","$119,913,199","$250,091,610"
9,2011,2011,Gnomeo and Juliet,Walt Disney,Comedy,Based on Play,Digital Animation,Fantasy,"$36,000,000","2,994","3,037","20,602","$25,356,909","$99,967,670","$115,473,369","$93,770,307","$193,737,977"
10,2011,2011,Justin Bieber: Never Say Never,Paramount Pictures,Concert/Performance,Based on Real Life Events,Live Action,Factual,"$13,000,000","3,105","3,118","13,852","$29,514,054","$73,013,910","$84,338,895","$26,020,215","$99,034,125"
11,2011,2011,Winnie the Pooh,Walt Disney,Adventure,Based on Fiction Book/Short Story,Hand Animation,Kids Fiction,"$30,000,000","2,405","2,405","8,867","$7,857,076","$26,692,846","$30,833,091","$23,452,761","$50,145,607"
12,2010,2010,Ramona and Beezus,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,"$15,000,000","2,719","2,719","9,738","$7,810,481","$26,167,002","$30,378,929","$1,302,619","$27,469,621"
13,2010,2010,Oceans,Walt Disney,Documentary,Based on Real Life Events,Live Action,Factual,"$80,000,000","1,206","1,232","6,030","$6,058,958","$19,422,319","$22,548,595","$67,365,211","$86,787,530"
14,2012,2012,Kari gurashi no Arietti,Walt Disney,Adventure,Based on Fiction Book/Short Story,Hand Animation,Kids Fiction,"$23,000,000","1,522","2,958","7,778","$6,446,395","$19,192,510","$22,085,850","$132,303,587","$151,496,097"
15,2011,2011,George Balanchine's The Nutcracker,NCM Fathom,Concert/Performance,Based on Ballet,Live Action,Fantasy,"$19,000,000",0,0,0,$0,"$2,119,994","$2,119,994",$0,"$2,119,994"
16,2011,2011,The Mighty Macs,Quaker Media,Drama,Based on Real Life Events,Live Action,Dramatization,"$7,000,000",975,975,"1,565","$963,221","$1,891,936","$2,185,384",$0,"$1,891,936"
17,2012,2012,The Oogieloves in the BIG Balloon Adv…,Kenn Viselman Presents,Adventure,Original Screenplay,Live Action,Kids Fiction,"$20,000,000","2,160","2,160","2,449","$443,901","$1,065,907","$1,226,588",$0,"$1,065,907"
18,2015,2015,Beyond the Brick: A LEGO Brickumentary,RADiUS-TWC,Documentary,Based on Real Life Events,Live Action,Factual,"$1,000,000",93,93,131,"$43,285","$101,531","$110,323",$0,"$101,531"
