,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office,tconst
0,"Jun 21, 2019","Jun 20, 2019",Toy Story 4,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,200000000.0,4575.0,4575.0,38194.0,120908065.0,434038008.0,434038008.0,639042321.0,1073080329.0,tt1979376
1,"Jun 18, 2010","Jun 18, 2010",Toy Story 3,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,200000000.0,4028.0,4028.0,33699.0,110307189.0,415004880.0,481805411.0,653874642.0,1068879522.0,tt0435761
2,"Jun 21, 2013","Jun 21, 2013",Monsters University,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,200000000.0,4004.0,4004.0,24656.0,82429469.0,268488329.0,302503449.0,474967481.0,743455810.0,tt1453405
3,"Jun 24, 2011","Jun 23, 2011",Cars 2,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,200000000.0,4115.0,4115.0,25790.0,66135507.0,191450875.0,221146280.0,368704508.0,560155383.0,tt1216475
4,"Jun 16, 2017","Jun 16, 2017",Cars 3,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,175000000.0,4256.0,4256.0,24083.0,53688680.0,152901115.0,156139821.0,230640254.0,383541369.0,tt3606752
5,"Apr 15, 2011","Apr 8, 2011",Rio,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,90000000.0,3827.0,3842.0,25374.0,39225962.0,143619809.0,165896275.0,343900000.0,487519809.0,tt1436562
6,"Dec 16, 2011","Dec 14, 2011",Alvin and the Chipmunks: Chipwrecked,20th Century Fox,Adventure,Based on TV,Animation/Live Action,Kids Fiction,80000000.0,3723.0,3734.0,24878.0,23244744.0,133107389.0,153599799.0,215981134.0,349088523.0,tt1615918
7,"Apr 11, 2014","Mar 20, 2014",Rio 2,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,130000000.0,3948.0,3975.0,26391.0,39327869.0,131538435.0,147477603.0,361307856.0,492846291.0,tt2357291
8,"Nov 6, 2015","Nov 5, 2015",The Peanuts Movie,20th Century Fox,Adventure,Based on Comic/Graphic Novel,Digital Animation,Kids Fiction,99000000.0,3897.0,3902.0,22946.0,44213073.0,130178411.0,141397580.0,119913199.0,250091610.0,tt2452042
9,"Feb 11, 2011","Feb 11, 2011",Gnomeo & Juliet,Walt Disney,Comedy,Based on Play,Digital Animation,Fantasy,36000000.0,2994.0,3037.0,20602.0,25356909.0,99967670.0,115473369.0,93770307.0,193737977.0,tt0377981
10,"Feb 11, 2011","Feb 11, 2011",Justin Bieber: Never Say Never,Paramount Pictures,Concert/Performance,Based on Real Life Events,Live Action,Factual,13000000.0,3105.0,3118.0,13852.0,29514054.0,73013910.0,84338895.0,26020215.0,99034125.0,tt1702443
11,"Jul 15, 2011","Apr 15, 2011",Winnie the Pooh,Walt Disney,Adventure,Based on Fiction Book/Short Story,Hand Animation,Kids Fiction,30000000.0,2405.0,2405.0,8867.0,7857076.0,26692846.0,30833091.0,23452761.0,50145607.0,tt1449283
12,"Jul 23, 2010","Jul 23, 2010",Ramona and Beezus,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,15000000.0,2719.0,2719.0,9738.0,7810481.0,26167002.0,30378929.0,1302619.0,27469621.0,tt0493949
13,"Apr 22, 2010","Apr 22, 2010",Oceans,Walt Disney,Documentary,Based on Real Life Events,Live Action,Factual,80000000.0,1206.0,1232.0,6030.0,6058958.0,19422319.0,22548595.0,67365211.0,86787530.0,N/A
14,"Feb 17, 2012","Jan 12, 2012",The Secret World of Arrietty,Walt Disney,Adventure,Based on Fiction Book/Short Story,Hand Animation,Kids Fiction,23000000.0,1522.0,2958.0,7778.0,6446395.0,19192510.0,22085850.0,132303587.0,151496097.0,tt1568921
15,"Dec 13, 2011","Dec 13, 2011",George Balanchine's The Nutcracker,NCM Fathom,Concert/Performance,Based on Ballet,Live Action,Fantasy,19000000.0,0.0,0.0,0.0,0.0,2119994.0,2119994.0,0.0,2119994.0,N/A
16,"Oct 21, 2011","Oct 21, 2011",The Mighty Macs,Quaker Media,Drama,Based on Real Life Events,Live Action,Dramatization,7000000.0,975.0,975.0,1565.0,963221.0,1891936.0,2185384.0,0.0,1891936.0,N/A
17,"Aug 29, 2012","Aug 29, 2012",The Oogieloves in the Big Balloon Adventure,Kenn Viselman Presents,Adventure,Original Screenplay,Live Action,Kids Fiction,20000000.0,2160.0,2160.0,2449.0,443901.0,1065907.0,1226588.0,0.0,1065907.0,N/A
18,"Jul 31, 2015","Jul 31, 2015",Beyond the Brick: A LEGO Brickumentary,RADiUS-TWC,Documentary,Based on Real Life Events,Live Action,Factual,1000000.0,93.0,93.0,131.0,43285.0,101531.0,110323.0,0.0,101531.0,N/A
19,"Oct 4, 2011","Oct 4, 2011",Puss in Boots,,,,,,25000000.0,0.0,0.0,0.0,0.0,0.0,0.0,8208594.0,8208594.0,tt0448694
20,"Dec 31, 2012","Aug 23, 2012",Zambezia,,Adventure,Original Screenplay,Digital Animation,Kids Fiction,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,34454336.0,34454336.0,N/A
21,"Mar 9, 2010","Mar 9, 2010",Hachiko: A Dog's Story,,Drama,Original Screenplay,Live Action,Contemporary Fiction,16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,47707417.0,47707417.0,N/A
22,"Dec 31, 2010","Mar 18, 2010",Belka i Strelka. Zvezdnye sobaki,,Adventure,Original Screenplay,Digital Animation,Kids Fiction,25000000.0,0.0,0.0,0.0,0.0,0.0,0.0,9445081.0,9445081.0,N/A
23,"Nov 20, 2014","Nov 20, 2014",Rise of the Entrepreneur: The Search for a Better Way,,Documentary,Based on Real Life Events,Live Action,Factual,450000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A
24,"Mar 5, 2010","Mar 4, 2010",Alice in Wonderland,Walt Disney,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,200000000.0,3728.0,3739.0,27013.0,116101023.0,334191110.0,387983589.0,691300000.0,1025491110.0,tt1014759
25,"Jul 9, 2010","Jul 9, 2010",Despicable Me,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,69000000.0,3476.0,3602.0,33507.0,56397125.0,251513985.0,291996673.0,291950588.0,543464573.0,tt1323594
26,"May 21, 2010","May 21, 2010",Shrek Forever After,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,165000000.0,4359.0,4386.0,25897.0,70838207.0,238736787.0,277164636.0,517507886.0,756244673.0,tt0892791
27,"Mar 26, 2010","Mar 26, 2010",How to Train Your Dragon,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Digital Animation,Fantasy,165000000.0,4055.0,4060.0,33192.0,43732319.0,217581232.0,252603809.0,277289760.0,494870992.0,tt0892769
28,"Nov 24, 2010","Nov 24, 2010",Tangled,Walt Disney,Musical,Based on Folk Tale/Legend/Fairytale,Digital Animation,Kids Fiction,260000000.0,3603.0,3603.0,32392.0,48767052.0,200821936.0,232953630.0,384752381.0,585574317.0,tt0398286
29,"Jun 11, 2010","Jun 11, 2010",The Karate Kid,Sony Pictures,Action,Remake,Live Action,Contemporary Fiction,40000000.0,3663.0,3740.0,21331.0,55665805.0,176591618.0,205016381.0,175183320.0,351774938.0,tt1155076
30,"Dec 17, 2010","Dec 17, 2010",Tron: Legacy,Walt Disney,Adventure,Original Screenplay,Live Action,Science Fiction,200000000.0,3451.0,3451.0,21917.0,44026211.0,172062763.0,199519859.0,227803436.0,399866199.0,tt1104001
31,"May 26, 2011","May 26, 2011",Kung Fu Panda 2,Paramount Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,150000000.0,3925.0,3952.0,22353.0,47656302.0,165249063.0,190880376.0,499588484.0,664837547.0,tt1302011
32,"Oct 28, 2011","Oct 28, 2011",Puss in Boots,Paramount Pictures,Adventure,Spin-Off,Digital Animation,Kids Fiction,130000000.0,3952.0,3963.0,26358.0,34077439.0,149260504.0,172396540.0,405726973.0,554987477.0,tt0448694
33,"Nov 5, 2010","Nov 5, 2010",Megamind,Paramount Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,130000000.0,3944.0,3949.0,25326.0,46016833.0,148415853.0,172280602.0,173471355.0,321887208.0,tt1001526
34,"Apr 15, 2011","Apr 8, 2011",Rio,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,90000000.0,3827.0,3842.0,25374.0,39225962.0,143619809.0,165896275.0,343900000.0,487519809.0,tt1436562
35,"Jul 29, 2011","Jul 29, 2011",The Smurfs,Sony Pictures,Adventure,Based on Comic/Graphic Novel,Animation/Live Action,Kids Fiction,110000000.0,3395.0,3427.0,26387.0,35611637.0,142614158.0,164734631.0,421135165.0,563749323.0,tt0472181
36,"Jul 1, 2010","Jul 1, 2010",The Last Airbender,Paramount Pictures,Adventure,Based on TV,Live Action,Fantasy,150000000.0,3169.0,3203.0,14725.0,40325019.0,131772187.0,152982662.0,187941694.0,319713881.0,tt0938283
37,"Mar 4, 2011","Mar 4, 2011",Rango,Paramount Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,135000000.0,3917.0,3923.0,24289.0,38079323.0,123477607.0,142629875.0,122246993.0,245724600.0,tt1192628
38,"Apr 1, 2011","Apr 1, 2011",Hop,Universal,Adventure,Based on Folk Tale/Legend/Fairytale,Animation/Live Action,Kids Fiction,63000000.0,3579.0,3616.0,20044.0,37543710.0,108085305.0,124850113.0,80408777.0,188494082.0,tt1411704
39,"Dec 10, 2010","Dec 10, 2010",The Chronicles of Narnia: The Voyage of the Dawn Treader,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,155000000.0,3555.0,3555.0,21848.0,24005069.0,104386950.0,121087158.0,313800000.0,418186950.0,tt0980970
40,"Dec 17, 2010","Dec 17, 2010",Yogi Bear,Warner Bros.,Adventure,Based on TV,Animation/Live Action,Kids Fiction,80000000.0,3515.0,3515.0,26886.0,16411322.0,100246011.0,116179962.0,104528679.0,204774690.0,tt1302067
41,"Feb 12, 2010","Feb 12, 2010",Percy Jackson & the Olympians: The Lightning Thief,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,95000000.0,3356.0,3396.0,19806.0,31236067.0,88768303.0,103056733.0,134282571.0,223050874.0,tt0814255
42,"Nov 23, 2011","Nov 23, 2011",The Muppets,Walt Disney,Adventure,Based on TV,Live Action,Kids Fiction,45000000.0,3440.0,3440.0,19678.0,29239026.0,88625922.0,102345889.0,72346000.0,160971922.0,tt1204342
43,"Jul 8, 2011","Jul 8, 2011",Zookeeper,Sony Pictures,Romantic Comedy,Original Screenplay,Animation/Live Action,Fantasy,80000000.0,3482.0,3482.0,17750.0,20065617.0,80360866.0,92825406.0,90444659.0,170805525.0,tt1222817
44,"Dec 21, 2011","Oct 28, 2011",The Adventures of Tintin,Paramount Pictures,Adventure,Based on Comic/Graphic Novel,Digital Animation,Contemporary Fiction,130000000.0,3087.0,3087.0,15104.0,9720993.0,77591831.0,89512857.0,296402120.0,373993951.0,tt0983193
45,"Dec 23, 2011","Dec 23, 2011",We Bought a Zoo,20th Century Fox,Drama,Based on Factual Book/Article,Live Action,Dramatization,50000000.0,3117.0,3170.0,18607.0,9360434.0,75624550.0,87218919.0,43104523.0,118729073.0,tt1389137
46,"Nov 11, 2011","Nov 11, 2011",Jack and Jill,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,79000000.0,3438.0,3438.0,19915.0,25003575.0,74158157.0,85649902.0,76361060.0,150519217.0,tt0810913
47,"Nov 23, 2011","Nov 23, 2011",Hugo,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,180000000.0,1277.0,2608.0,17898.0,11364505.0,73864507.0,85218888.0,106183277.0,180047784.0,tt0970179
48,"Sep 23, 2011","Sep 23, 2011",Dolphin Tale,Warner Bros.,Drama,Based on Real Life Events,Live Action,Dramatization,37000000.0,3507.0,3515.0,22578.0,19152401.0,72286779.0,83497797.0,23781945.0,96068724.0,tt1564349
49,"Jun 17, 2011","Jun 17, 2011",Mr. Popper's Penguins,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,55000000.0,3339.0,3342.0,15730.0,18445355.0,68224452.0,78806558.0,121400000.0,189624452.0,tt1758830
50,"Nov 18, 2011","Nov 18, 2011",Happy Feet Two,Warner Bros.,Adventure,Original Screenplay,Digital Animation,Kids Fiction,135000000.0,3606.0,3611.0,18485.0,21237068.0,64006466.0,73921081.0,93950000.0,157956466.0,tt1402488
51,"Mar 19, 2010","Mar 19, 2010",Diary of a Wimpy Kid,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,15000000.0,3077.0,3083.0,19018.0,22126166.0,64003625.0,74305856.0,12950686.0,76954311.0,tt1196141
52,"Jul 14, 2010","Jul 14, 2010",The Sorcerer's Apprentice,Walt Disney,Adventure,Based on Short Film,Animation/Live Action,Fantasy,160000000.0,3504.0,3504.0,14637.0,17619622.0,63150991.0,73315971.0,154835329.0,217986320.0,tt0963966
53,"Mar 31, 2010","Mar 31, 2010",The Last Song,Walt Disney,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,20000000.0,2673.0,2794.0,16631.0,16007426.0,62950384.0,73083078.0,29728564.0,92678948.0,tt1294226
54,"Jan 22, 2010","Jan 22, 2010",Tooth Fairy,20th Century Fox,Adventure,Original Screenplay,Live Action,Fantasy,48000000.0,3344.0,3345.0,22252.0,14010409.0,60022256.0,69683637.0,52588130.0,112610386.0,tt0808510
55,"Oct 8, 2010","Oct 8, 2010",Secretariat,Walt Disney,Drama,Based on Real Life Events,Live Action,Dramatization,35000000.0,3072.0,3108.0,20456.0,12694770.0,59699513.0,69305146.0,676734.0,60376247.0,tt1028576
56,"Sep 24, 2010","Sep 24, 2010",Legend of the Guardians: The Owls of Ga'Hoole,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,100000000.0,3575.0,3575.0,19643.0,16112211.0,55675313.0,64636258.0,84041404.0,139716717.0,tt1219342
57,"May 14, 2010","May 14, 2010",Letters to Juliet,Summit Entertainment,Drama,Based on Factual Book/Article,Live Action,Contemporary Fiction,30000000.0,2968.0,2975.0,14835.0,13540486.0,53032453.0,61568729.0,29116085.0,82148538.0,tt0892318
58,"Mar 25, 2011","Mar 25, 2011",Diary of a Wimpy Kid: Rodrick Rules,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,18000000.0,3167.0,3169.0,14111.0,23751502.0,52698535.0,60872459.0,20996659.0,73695194.0,tt1650043
59,"Nov 23, 2011","Nov 11, 2011",Arthur Christmas,Sony Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,85000000.0,3376.0,3376.0,16380.0,12068931.0,46462469.0,53666324.0,102485095.0,148947564.0,tt1430607
60,"Apr 8, 2011","Apr 8, 2011",Soul Surfer,Sony Pictures,Drama,Based on Factual Book/Article,Live Action,Dramatization,18000000.0,2214.0,2240.0,14869.0,10601862.0,43853424.0,50655405.0,3305228.0,47158652.0,tt1596346
61,"Jul 30, 2010","Jul 30, 2010",Cats & Dogs: The Revenge of Kitty Galore,Warner Bros.,Adventure,Original Screenplay,Live Action,Kids Fiction,85000000.0,3705.0,3705.0,14432.0,12279363.0,43585753.0,50601461.0,69440630.0,113026383.0,tt1287468
62,"Dec 25, 2010","Dec 24, 2010",Gulliver's Travels,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,112000000.0,2546.0,3089.0,13636.0,6307691.0,42779261.0,49575413.0,189238587.0,232017848.0,tt1320261
63,"Aug 19, 2011","Aug 19, 2011",Spy Kids: All the Time in the World,Weinstein/Dimension,Adventure,Original Screenplay,Live Action,Kids Fiction,27000000.0,3295.0,3305.0,17065.0,11644672.0,38536376.0,44513643.0,42144807.0,80681183.0,N/A
64,"Jun 4, 2010","Jun 4, 2010",Marmaduke,20th Century Fox,Adventure,Based on Comic/Graphic Novel,Animation/Live Action,Kids Fiction,50000000.0,3213.0,3213.0,12225.0,11599661.0,33644788.0,39060365.0,56251142.0,89895930.0,tt1392197
65,"Aug 20, 2010","Aug 20, 2010",Nanny McPhee and the Big Bang,Universal,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,35000000.0,2784.0,2798.0,14161.0,8407685.0,29197642.0,33897386.0,68602223.0,97799865.0,N/A
66,"Jan 8, 2010","Jan 8, 2010",Leap Year,Universal,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,19000000.0,2511.0,2512.0,9132.0,9202815.0,25918920.0,30090911.0,6700000.0,32618920.0,tt1216492
67,"Sep 24, 2010","Sep 24, 2010",You Again,Walt Disney,Comedy,Original Screenplay,Live Action,Contemporary Fiction,20000000.0,2548.0,2548.0,11597.0,8407513.0,25702053.0,29839131.0,7136892.0,32838945.0,tt1414382
68,"Sep 17, 2010","Sep 17, 2010",Alpha and Omega 3D,Lionsgate,Adventure,Original Screenplay,Digital Animation,Kids Fiction,20000000.0,2625.0,2625.0,12432.0,9106906.0,25107267.0,29148613.0,23851086.0,48958353.0,N/A
69,"Jan 15, 2010","Jan 15, 2010",The Spy Next Door,Lionsgate,Adventure,Original Screenplay,Live Action,Kids Fiction,28000000.0,2924.0,2924.0,9519.0,9726056.0,24307106.0,28219652.0,22445752.0,46752858.0,tt1273678
70,"Jul 1, 2011","Jul 1, 2011",Monte Carlo,20th Century Fox,Romantic Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,20000000.0,2473.0,2473.0,7296.0,7453944.0,23186769.0,26783208.0,16500000.0,39686769.0,tt1067774
71,"May 14, 2010","May 14, 2010",Just Wright,Fox Searchlight,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,12000000.0,1831.0,1831.0,6194.0,8284989.0,21540363.0,25007569.0,327302.0,21867665.0,tt1407061
72,"Mar 11, 2011","Mar 11, 2011",Mars Needs Moms,Walt Disney,Adventure,Based on Fiction Book/Short Story,Digital Animation,Science Fiction,150000000.0,3117.0,3117.0,10083.0,6914488.0,21392758.0,24710923.0,18157000.0,39549758.0,tt1305591
73,"Apr 30, 2010","Apr 30, 2010",Furry Vengeance,Summit Entertainment,Adventure,Original Screenplay,Live Action,Kids Fiction,35000000.0,2997.0,3002.0,11288.0,6627564.0,17630465.0,20468322.0,21709712.0,39340177.0,tt0492389
74,"Jan 22, 2010","Jan 22, 2010",Extraordinary Measures,CBS Films,Drama,Based on Real Life Events,Live Action,Dramatization,31000000.0,2545.0,2549.0,6696.0,6012594.0,12482741.0,14491999.0,3344243.0,15826984.0,tt1244659
75,"Aug 12, 2011","Aug 12, 2011",Glee: The 3D Concert Movie,20th Century Fox,Concert/Performance,Based on TV,Live Action,Factual,9000000.0,2040.0,2040.0,4341.0,5961231.0,11862398.0,13702343.0,5600000.0,17462398.0,tt1922612
76,"Apr 29, 2011","Apr 29, 2011",Hoodwinked Too: Hood vs. Evil,Weinstein Co.,Adventure,Based on Folk Tale/Legend/Fairytale,Digital Animation,Kids Fiction,30000000.0,2505.0,2505.0,7798.0,4108630.0,10143779.0,11717151.0,13209332.0,23353111.0,N/A
77,"Apr 29, 2011","Apr 29, 2011",Prom,Walt Disney,Comedy,Original Screenplay,Live Action,Contemporary Fiction,8000000.0,2730.0,2730.0,7385.0,4712638.0,10130219.0,11701488.0,632964.0,10763183.0,tt1604171
78,"Oct 21, 2011","Oct 21, 2011",Johnny English Reborn,Universal,Adventure,Original Screenplay,Live Action,Contemporary Fiction,45000000.0,1552.0,1554.0,4068.0,3833300.0,8406711.0,9710653.0,156233690.0,164640401.0,tt1634122
79,"Jul 22, 2011","Jul 22, 2011",Elle s'appelait Sarah,Weinstein Co.,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,14500000.0,5.0,319.0,2702.0,115708.0,7691700.0,8884733.0,17788331.0,25480031.0,tt1668200
80,"Oct 14, 2011","Oct 14, 2011",The Big Year,20th Century Fox,Comedy,Based on Factual Book/Article,Live Action,Contemporary Fiction,41000000.0,2150.0,2150.0,5206.0,3251884.0,7204138.0,8321549.0,480386.0,7684524.0,tt1053810
81,"Aug 20, 2010","Aug 20, 2010",Mao's Last Dancer,Samuel Goldwyn Films,Drama,Based on Real Life Events,Live Action,Dramatization,18000000.0,33.0,137.0,1320.0,199657.0,4806750.0,5580455.0,21134687.0,25941437.0,N/A
82,"Apr 9, 2010","Apr 9, 2010",Letters to God,Vivendi Entertainment,Drama,Original Screenplay,Live Action,Contemporary Fiction,3000000.0,897.0,897.0,2433.0,1101204.0,2848587.0,3307099.0,388865.0,3237452.0,tt1462054
83,"May 13, 2011","May 13, 2011",Everything Must Go,Roadside Attractions,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,5000000.0,218.0,245.0,997.0,791676.0,2712131.0,3132793.0,108879.0,2821010.0,tt1531663
84,"Dec 25, 2010","Dec 25, 2010",The Illusionist,Sony Pictures Classics,Adventure,Original Screenplay,Hand Animation,Historical Fiction,17000000.0,3.0,206.0,935.0,38594.0,2231474.0,2578302.0,6378475.0,8609949.0,N/A
85,"Aug 6, 2010","Aug 6, 2010",Flipped,Warner Bros.,Romantic Comedy,Based on Fiction Book/Short Story,Live Action,Historical Fiction,14000000.0,45.0,442.0,1148.0,224233.0,1755212.0,2037734.0,2539423.0,4294635.0,tt0817177
86,"Apr 16, 2010","Apr 16, 2010",The Perfect Game,Slowhand Cinema,Drama,Based on Real Life Events,Live Action,Dramatization,12500000.0,417.0,417.0,831.0,510000.0,1089445.0,1264804.0,2841922.0,3931367.0,N/A
87,"Apr 8, 2011","Apr 8, 2011",Meek's Cutoff,Oscilloscope Pictures,Drama,Original Screenplay,Live Action,Historical Fiction,2000000.0,2.0,45.0,358.0,20042.0,977772.0,1129428.0,892156.0,1869928.0,tt1518812
88,"May 14, 2010","May 14, 2010",Princess Kaiulani,Roadside Attractions,Drama,Based on Real Life Events,Live Action,Dramatization,9000000.0,33.0,47.0,223.0,186995.0,883887.0,1026158.0,0.0,883887.0,N/A
89,"Jul 16, 2010","Jul 16, 2010",Standing Ovation,Rocky Mountain Pictures,Musical,Original Screenplay,Live Action,Contemporary Fiction,5600000.0,625.0,625.0,699.0,343125.0,531806.0,617402.0,0.0,531806.0,tt1303803
90,"Oct 15, 2010","Oct 15, 2010",I Want Your Money,Freestyle Releasing,Documentary,Based on Real Life Events,Live Action,Factual,400000.0,537.0,537.0,768.0,249428.0,433588.0,503379.0,0.0,433588.0,tt1560957
91,"Mar 25, 2011","Mar 25, 2011",The 5th Quarter,Rocky Mountain Pictures,Drama,Based on Real Life Events,Live Action,Dramatization,6000000.0,123.0,123.0,242.0,202342.0,408159.0,471465.0,0.0,408159.0,tt1130964
92,"Jun 25, 2010","Jun 25, 2010",Wild Grass,Sony Pictures Classics,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,14000000.0,5.0,23.0,215.0,39162.0,403952.0,468965.0,1500000.0,1903952.0,N/A
93,"Dec 31, 2010","Nov 5, 2015",Arthur and the War of Two Worlds,,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,45500000.0,0.0,0.0,0.0,0.0,347136.0,403003.0,35833688.0,36180824.0,N/A
94,"Jun 10, 2011","Jun 10, 2011",Trolljegeren,Magnet Pictures,Horror,Original Screenplay,Live Action,Contemporary Fiction,3500000.0,1.0,21.0,156.0,5585.0,253444.0,292754.0,5453194.0,5706638.0,N/A
95,"Nov 24, 2010","Nov 24, 2010",The Nutcracker in 3D,Freestyle Releasing,Musical,Based on Ballet,Animation/Live Action,Kids Fiction,90000000.0,45.0,115.0,197.0,65944.0,195459.0,226921.0,20270557.0,20466016.0,N/A
96,"Sep 10, 2010","Sep 10, 2010","Lovely, Still",Monterey Media,Drama,Original Screenplay,Live Action,Contemporary Fiction,5000000.0,2.0,17.0,68.0,4584.0,127564.0,148090.0,155123.0,282687.0,N/A
97,"Mar 18, 2011","Mar 18, 2011",Alabama Moon,Faulkner-McLean Entertainment,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,10000000.0,0.0,5.0,9.0,0.0,47305.0,54639.0,0.0,47305.0,N/A
98,"May 1, 2010","May 1, 2010",My Girlfriend's Boyfriend,,Romantic Comedy,,Live Action,,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A
99,"Dec 31, 2011","Apr 19, 2012",Tu Xia Chuan Qi,,Adventure,Original Screenplay,Digital Animation,Kids Fiction,12000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1828400.0,1828400.0,N/A
100,"Jun 3, 2011","Jun 3, 2011",The Lion of Judah,Rocky Mountain Pictures,Adventure,Based on Religious Text,Digital Animation,Kids Fiction,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A
101,"Dec 31, 2010","Dec 31, 2010",Konferenz der Tiere,,Adventure,Original Screenplay,Digital Animation,Kids Fiction,30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,53048539.0,53048539.0,N/A
102,"Dec 31, 2010","Dec 31, 2010",The Christmas Bunny,,,,,,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A
103,"Mar 15, 2011","Mar 15, 2011",A Shine of Rainbows,,Drama,,,,6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A
104,"Dec 31, 2011","Dec 31, 2011",Red Dog,,,,,,9100000.0,0.0,0.0,0.0,0.0,0.0,0.0,20927794.0,20927794.0,N/A
105,"Oct 5, 2010","Oct 5, 2010",Rust,,Drama,Original Screenplay,Live Action,Contemporary Fiction,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A
106,"Dec 31, 2010","Dec 31, 2010",Sammy's avonturen: De geheime doorgang,,Adventure,Original Screenplay,Digital Animation,Kids Fiction,25000000.0,0.0,0.0,0.0,0.0,0.0,0.0,71594792.0,71594792.0,N/A
107,"Jun 22, 2012","Jun 21, 2012",Brave,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,185000000.0,4164.0,4164.0,30444.0,66323594.0,237282182.0,273053234.0,317324350.0,554606532.0,tt1185412
108,"Jun 8, 2012","Jun 8, 2012",Madagascar 3: Europe's Most Wanted,Paramount Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,145000000.0,4258.0,4263.0,26837.0,60316738.0,216391482.0,249013308.0,530529789.0,746921271.0,tt1277953
109,"Mar 2, 2012","Mar 1, 2012",The Lorax,Universal,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,67500000.0,3729.0,3769.0,29339.0,70217070.0,214030500.0,246296397.0,136946253.0,350976753.0,tt1482459
110,"Nov 2, 2012","Nov 1, 2012",Wreck-It Ralph,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,165000000.0,3752.0,3752.0,32034.0,49038712.0,189412677.0,217704795.0,307098844.0,496511521.0,tt1772341
